FIPS,CASE_TYPE,ATTORNEY_TYPE,FILE_DATE,OFFENSE_CLASS_CODE,FINAL_DISP_DATE
3,F,N,10/1/96,,5/10/10
11,F,N,8/27/10,6,9/22/10
11,F,N,10/4/10,3,10/6/10
11,F,N,12/13/10,5,12/15/10
13,F,N,5/4/10,U,8/18/10
13,F,N,5/7/10,5,9/9/10
13,F,N,11/1/10,4,12/13/10
25,F,N,4/29/10,U,5/6/10
36,F,N,6/25/10,5,7/7/10
47,F,N,5/24/10,O,7/14/10
47,F,N,6/25/10,O,8/11/10
47,F,N,7/22/10,O,9/27/10
47,F,N,8/3/10,O,9/27/10
47,F,N,10/1/10,O,10/27/10
47,F,N,10/22/10,O,11/17/10
47,F,N,10/27/10,U,11/17/10
47,F,N,11/5/10,6,12/8/10
49,F,N,6/30/10,6,9/16/10
59,F,N,4/12/10,O,7/28/10
61,F,N,4/12/10,6,5/24/10
61,F,N,4/28/10,5,5/20/10
61,F,N,5/24/10,5,7/26/10
61,F,N,6/3/10,5,7/26/10
61,F,N,9/2/10,6,11/4/10
69,F,N,10/16/09,U,6/25/10
69,F,N,9/27/10,6,12/14/10
71,F,N,2/16/10,U,5/11/10
71,F,N,6/15/10,5,9/14/10
73,F,N,3/1/10,5,7/29/10
79,F,N,5/25/10,O,6/2/10
101,F,N,6/4/10,U,6/17/10
105,F,N,2/8/10,U,4/5/10
107,F,N,8/31/05,O,7/27/10
107,F,N,8/16/10,,8/16/10
107,F,N,8/30/10,U,9/22/10
107,F,N,9/17/10,U,11/9/10
107,F,N,10/6/10,U,10/6/10
107,F,N,11/19/10,U,12/3/10
121,F,N,6/3/10,6,6/9/10
133,F,N,9/20/10,6,9/20/10
133,F,N,9/20/10,6,9/20/10
133,F,N,11/1/10,6,11/1/10
147,F,N,4/9/10,4,4/20/10
147,F,N,4/9/10,6,4/20/10
147,F,N,4/9/10,5,4/20/10
147,F,N,4/14/10,5,4/20/10
147,F,N,4/14/10,6,4/20/10
147,F,N,5/26/10,6,6/8/10
147,F,N,5/26/10,6,6/8/10
147,F,N,5/26/10,6,6/8/10
147,F,N,5/26/10,6,6/8/10
147,F,N,5/26/10,O,6/8/10
147,F,N,5/26/10,O,6/8/10
147,F,N,5/26/10,O,6/8/10
147,F,N,5/26/10,O,6/8/10
147,F,N,9/1/10,4,9/7/10
147,F,N,11/30/10,O,11/30/10
153,F,N,11/17/09,5,6/21/10
153,F,N,4/6/10,5,5/24/10
153,F,N,4/6/10,6,5/24/10
153,F,N,4/20/10,6,6/22/10
153,F,N,5/10/10,O,6/18/10
153,F,N,6/3/10,5,10/18/10
153,F,N,7/15/10,6,8/12/10
153,F,N,8/5/10,O,10/1/10
153,F,N,8/10/10,5,11/17/10
153,F,N,9/13/10,O,12/7/10
153,F,N,9/14/10,5,11/5/10
153,F,N,9/20/10,6,11/22/10
153,F,N,9/20/10,5,11/22/10
153,F,N,9/27/10,U,11/29/10
153,F,N,10/6/10,6,10/19/10
153,F,N,10/8/10,O,10/19/10
153,F,N,10/14/10,6,12/28/10
153,F,N,11/23/10,6,12/8/10
153,F,N,12/1/10,6,12/8/10
153,F,N,12/1/10,O,12/22/10
153,F,N,12/1/10,O,12/22/10
153,F,N,12/7/10,O,12/22/10
157,F,N,4/15/10,U,4/20/10
163,F,N,5/26/10,U,5/26/10
163,F,N,10/6/10,U,10/8/10
165,F,N,8/11/10,U,9/20/10
169,F,N,9/21/10,6,10/28/10
171,F,N,6/30/10,U,10/25/10
177,F,N,4/7/10,U,5/11/10
177,F,N,4/8/10,O,6/8/10
177,F,N,4/8/10,O,6/8/10
177,F,N,4/21/10,6,5/4/10
177,F,N,4/30/10,6,6/1/10
177,F,N,5/3/10,U,6/3/10
177,F,N,5/3/10,6,5/13/10
177,F,N,5/3/10,6,5/11/10
177,F,N,5/12/10,O,8/3/10
177,F,N,5/20/10,4,5/20/10
177,F,N,9/17/10,O,9/30/10
177,F,N,11/16/10,6,11/19/10
177,F,N,11/23/10,6,12/21/10
179,F,N,8/2/10,5,12/14/10
183,F,N,4/22/10,5,6/28/10
185,F,N,5/14/10,6,5/14/10
187,F,N,4/5/10,O,5/26/10
187,F,N,4/14/10,5,6/30/10
187,F,N,9/20/10,6,10/13/10
191,F,N,7/29/10,U,10/20/10
191,F,N,8/5/10,5,8/18/10
191,F,N,12/13/10,U,12/15/10
197,F,N,6/28/10,U,7/20/10
520,F,N,6/3/10,O,7/22/10
570,F,N,8/3/10,5,8/3/10
590,F,N,5/3/10,O,7/9/10
630,F,N,8/9/10,U,8/12/10
630,F,N,8/26/10,U,9/7/10
650,F,N,1/22/10,6,4/26/10
650,F,N,7/23/10,6,9/21/10
650,F,N,8/2/10,6,9/22/10
650,F,N,8/11/10,O,8/13/10
650,F,N,10/4/10,O,12/16/10
650,F,N,10/19/10,6,12/1/10
680,F,N,5/17/10,O,6/3/10
680,F,N,7/26/10,O,11/10/10
680,F,N,7/26/10,O,11/10/10
680,F,N,7/27/10,O,11/16/10
690,F,N,10/12/10,6,12/9/10
711,F,N,5/25/10,3,7/8/10
770,F,N,5/13/10,6,5/13/10
840,F,N,10/18/10,U,10/18/10
